loss,exret,custcomplaint,exdelay,lowprior,avglawsuits,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
0.738377371,-0.626453811,0.893673702,-0.34106698,No,0.550727012,0.670881344,-0.249605963,-0.459597507,-0.735180357,0.326744165,0.181700767,-0.416350904,0.360610394,-0.13779989,-0.603141005,0.738758862,0.960702158,0.686006214,0.360763938,0.872671469
0.464955486,0.183643324,-1.047298149,1.502424534,Yes,0.875107768,-0.025100034,-0.82280899,-0.089809636,-0.269337252,0.039776715,-0.76268696,0.57065824,-0.996265765,-0.467741842,0.940023604,0.553907986,-0.269166524,-0.355323623,0.200851655,-0.674643948
6.421797458,-0.835628612,1.971337386,0.528307712,Yes,1.363707467,-0.134536217,-0.247610552,0.020952955,-0.090935309,-0.336477879,0.725377242,-0.043395346,-0.806598264,-0.329642565,0.056148017,0.188012389,-0.407187593,-0.63876145,0.782409353,0.314228187
2.806231269,1.595280802,-0.383632106,0.542191355,No,1.015796435,0.761383169,-0.550383371,-0.560683071,0.074228216,0.232634285,-0.76842748,-0.732404011,-0.108875886,-0.882850982,-0.764893025,-0.853474715,0.289690481,-0.57258062,0.742840352,0.197086511
37.56954691,0.329507772,1.654145302,-0.136673356,Yes,1.904256758,0.529823428,0.623477758,-0.199811484,-0.629010483,0.162902546,0.002298189,-0.670353772,-0.199474556,0.998451733,0.886166526,0.179064072,0.631642828,-0.622258014,-0.876843278,0.486939875
8.968104824,-0.820468384,1.512212694,-1.136733853,Yes,1.481105794,-0.890278027,-0.716879472,0.458369766,-0.10144864,0.190587291,-0.881430977,0.04245526,0.07984045,-0.317296193,0.027801393,-0.22615005,0.071066436,-0.523602582,0.810986902,0.508848344
9.949311337,0.487429052,0.082965734,-1.496627154,No,1.51575174,-0.601564479,-0.940627019,-0.672311349,-0.486945473,-0.883254716,-0.105468413,-0.869538805,0.665801666,-0.943701949,0.016433645,0.542736361,0.891499157,-0.855108406,0.953353067,0.191943584
61.88944025,0.738324705,0.567220915,-0.223385644,Yes,2.031095658,0.373649377,-0.550341687,0.926883889,0.236915851,0.480839741,-0.620494392,-0.763089243,0.253968985,-0.089333982,0.573865051,-0.228999173,-0.702571507,-0.576459551,-0.426956078,0.444880465
0.124834627,0.575781352,-1.02454848,2.001719228,No,1.442485842,0.79850143,0.53594088,0.886277121,0.761488838,-0.014216928,-0.054127752,-0.837231747,-0.167186497,0.289946498,-0.098186299,0.147973575,-0.929808745,-0.685818341,0.193528651,-0.8049506
9.018430842,-0.305388387,0.323006503,0.221703816,Yes,1.482993714,-0.90852262,0.275448062,-0.283824536,-0.364506543,0.996720485,-0.145835584,0.775432835,0.216510321,0.451557755,-0.523392061,0.349168232,-0.554990583,-0.07490926,-0.637518463,0.305865613
39.16873568,1.511781168,1.043612458,0.164372909,Yes,1.915170715,-0.820763815,0.570790257,-0.212102514,0.658657749,0.082471741,0.240307444,-0.552656685,-0.836105741,-0.343084202,-0.791383532,0.836204801,-0.934642905,-0.971310204,0.571264252,-0.925617758
0.863337666,0.389843236,0.099078487,0.332623609,No,0.38333979,-0.118246381,-0.332777147,-0.487517158,0.922795715,-0.9183592,0.071641472,0.422994004,-0.286428843,0.838387896,-0.914438347,-0.161051719,-0.999332301,0.045527478,0.519521157,0.477733267
0.511078812,-0.621240581,-0.454136909,-0.385207999,Yes,0.819287172,0.555931295,0.1544921,-0.386804931,0.085933183,-0.596159614,0.461572956,-0.208772385,0.952100648,-0.988942289,0.982207417,-0.091245322,0.918744859,-0.682877914,-0.083129353,-0.123624691
0.092003662,-2.214699887,-0.655781852,-1.398754027,No,1.544644586,-0.719829813,-0.490680087,-0.736835154,0.641445349,-0.278872524,-0.758306036,-0.164815079,-0.518428046,0.733283854,0.369957173,-0.794806789,0.811720686,-0.017621219,-0.725942987,-0.045500224
2.009880332,1.124930918,-0.035922423,2.675740796,No,0.835508937,0.357497385,0.6430425,0.962222627,0.887212455,-0.767753484,0.040839004,-0.605085366,-0.453947684,-0.811514882,0.366035529,0.508267231,0.415309314,0.34167998,0.838193961,-0.74867736
8.570415981,-0.044933609,1.069161461,-0.423686089,Yes,1.46571357,-0.904803981,-0.460707965,0.197051644,0.666726522,0.116650631,0.392758527,0.413305372,0.411399074,0.08496805,0.465492922,0.61017371,0.864400143,-0.374172014,-0.878539061,-0.70330598
0.921164408,-0.016190263,-0.48397493,-0.298601512,Yes,0.286560201,0.211295512,0.785562731,0.497094761,0.591253027,-0.529823895,-0.655395914,0.17346165,-0.620565648,-0.172891835,-0.092189679,0.234796731,-0.700650039,-0.310027623,0.597703359,-0.419651908
9.224900734,0.943836211,-0.121010111,-1.792341727,No,1.490606061,-0.099711116,0.330232234,-0.856112237,-0.54373267,-0.374559695,0.074411627,-0.623461018,-0.14372697,0.906381818,0.588422854,-0.943575657,-0.037462301,-0.974204675,0.86449208,0.182821645
6.115401029,0.821221195,-1.294140004,-0.248008225,No,1.345663535,0.495561682,-0.504236579,0.161712555,-0.634760672,0.002404196,-0.433553545,-0.631071142,0.289202609,0.093663645,0.286287569,-0.709208824,0.866329329,-0.111424605,0.335645388,0.014034326
9.331154771,0.593901321,0.494312836,-0.247303918,No,1.494442631,-0.645700954,0.967089592,0.229866174,-0.593549389,-0.252081835,-0.374471657,0.198865627,-0.348645541,0.833565691,0.211219027,-0.833961358,-0.597206534,0.008674923,-0.282492411,-0.981934846
31.85486389,0.918977372,1.30790152,-0.255510379,Yes,1.860427393,0.309714231,0.393677882,-0.029637109,-0.297090566,-0.26669233,0.970358346,-0.902735834,-0.323891746,-0.771867169,-0.486310345,-0.404085628,-0.266037026,-0.974739078,0.497952563,0.9068625
